date,open,high,low,close,volume
2025-09-02,29.3,29.3954,29.0,29.08,31571060
2025-09-03,29.01,29.08,28.445,29.04,27245390
2025-09-04,29.18,29.7,29.03,29.58,31845440
2025-09-05,29.58,29.79,29.42,29.59,25105950
2025-09-08,28.5,29.14,28.28,28.9,40649270
2025-09-09,28.895,29.58,28.83,29.42,35105460
2025-09-10,29.245,29.44,28.9,29.2,25689400
2025-09-11,29.29,29.5,29.115,29.49,23581000
2025-09-12,29.42,29.6,29.2949,29.57,22794040
2025-09-15,29.605,29.79,29.5,29.62,31486360
2025-09-16,29.62,29.65,29.205,29.33,28118180
2025-09-17,29.33,29.58,29.25,29.54,25967170
2025-09-18,29.35,29.465,29.14,29.2,30142880
2025-09-19,29.26,29.31,28.925,29.01,62155660
2025-09-22,28.935,29.07,28.735,28.92,25835320
2025-09-23,28.92,29.01,28.555,28.79,28805800
2025-09-24,28.685,28.75,28.17,28.32,28858700
2025-09-25,28.5,28.75,28.29,28.3,25658510
2025-09-26,28.38,28.5659,28.25,28.31,25455100
2025-09-29,28.25,28.34,27.875,28.07,28739590
2025-09-30,28.14,28.35,28.05,28.24,34049550
2025-10-01,28.05,28.1599,27.52,27.55,38415120
2025-10-02,27.4,27.43,26.88,27.01,39597190
2025-10-03,27.02,27.22,26.99,27.06,34891700
2025-10-06,26.54,26.72,25.84,25.87,63474350
2025-10-07,25.92,26.2999,25.85,26.16,43249550
2025-10-08,26.225,26.35,26.0235,26.25,36913240
2025-10-09,26.245,26.475,26.09,26.1,33129230
2025-10-10,25.84,26.24,25.71,25.87,37980080
2025-10-13,25.68,25.845,25.35,25.59,36313720
2025-10-14,25.575,26.15,25.575,26.13,43644890
2025-10-15,26.05,26.1851,25.94,26.07,34673980
2025-10-16,26.1,26.3899,26.05,26.2,49513140
2025-10-17,26.39,26.48,26.195,26.34,61491830
2025-10-20,26.34,26.44,25.83,26.1,66161100
2025-10-21,26.15,26.23,25.9,26.05,100445700
2025-10-22,24.92,25.83,24.32,25.55,95467950
2025-10-23,25.68,25.75,24.485,24.62,107294100
2025-10-24,24.635,25.19,24.57,25.14,80553700
2025-10-27,25.08,25.565,24.965,25.53,86220430
2025-10-28,25.41,25.78,25.31,25.7,77662460
2025-10-29,26.12,26.21,24.985,25.14,102715000
2025-10-30,24.99,25.175,24.615,24.68,82167820
2025-10-31,24.63,24.99,24.51,24.75,89936750
2025-11-03,24.635,24.635,24.08,24.53,89327680
2025-11-04,24.47,24.56,24.29,24.44,75032670
2025-11-05,24.46,24.73,24.43,24.56,61112230
2025-11-06,24.29,24.99,24.29,24.74,71665300
2025-11-07,24.81,25.1,24.64,24.83,62439990
2025-11-10,24.74,24.94,24.61,24.83,52677550
2025-11-11,24.93,25.3,24.88,25.18,40962710
2025-11-12,25.44,25.73,25.41,25.65,44096990
2025-11-13,25.65,25.96,25.555,25.75,49785590
2025-11-14,25.87,25.93,25.44,25.59,37390170
2025-11-17,25.63,25.71,25.43,25.47,34519870
2025-11-18,25.54,25.77,25.34,25.6,41527550
2025-11-19,25.6,25.67,25.09,25.27,34296930
2025-11-20,25.25,25.63,25.12,25.52,44631820
2025-11-21,25.515,26.18,25.5,25.93,59017120
2025-11-24,25.99,26.015,25.43,25.62,66605910
2025-11-25,25.76,26.205,25.75,25.86,44336240
2025-11-26,25.83,26.07,25.8,25.82,27713020
2025-11-28,25.82,26.02,25.7601,26.02,16345750
2025-12-01,25.95,25.97,25.55,25.79,34681950
2025-12-02,25.83,25.87,25.45,25.52,30839720
2025-12-03,25.555,25.82,25.31,25.32,29138410
2025-12-04,25.37,25.56,25.23,25.39,33035150
2025-12-05,25.36,25.64,25.25,25.28,28075580
2025-12-08,25.34,25.34,24.69,24.84,41475010
2025-12-09,24.84,24.99,24.36,24.51,41499590
2025-12-10,24.56,24.6005,24.275,24.39,48955410
2025-12-11,24.46,24.7099,24.27,24.3,38931830
2025-12-12,24.39,24.81,24.265,24.58,34207690
2025-12-15,24.49,24.625,24.22,24.31,37162470
2025-12-16,24.36,24.39,24.01,24.07,35701970
2025-12-17,24.105,24.45,24.08,24.36,39455090
2025-12-18,24.305,24.55,24.23,24.26,31038790
2025-12-19,24.21,24.28,24.02,24.15,89822260
