date,open,high,low,close,volume
2026-02-25,390.525,401.47,390.16,400.6,43625480
2026-02-26,404.71,407.49,398.74,401.72,34405870
2026-02-27,390.88,396.82,389.88,392.74,51367200
2026-03-02,392.855,401.19,390.63,398.55,35474910
2026-03-03,393.14,406.7,392.67,403.93,38199210
2026-03-04,401.265,411.0326,400.31,405.2,35807990
2026-03-05,404.42,411.61,404.4,410.68,39001320
2026-03-06,409.2,413.05,408.5101,408.96,31123860
2026-03-09,404.915,410.21,403.5,409.41,30131850
2026-03-10,410.03,410.2,402.93,405.76,31706380
2026-03-11,405.57,409.01,401.59,404.88,25512140
2026-03-12,404.63,406.12,401.71,401.86,27263890
2026-03-13,401.0,404.8,394.25,395.55,26848000
2026-03-16,398.07,400.63,394.79,399.95,27733720
2026-03-17,400.27,404.4,397.745,399.41,26228280
2026-03-18,397.125,398.0,391.0,391.79,25908480
2026-03-19,390.1,392.49,387.06,389.02,25138770
2026-03-20,386.79,387.0,380.12,381.87,50853150
2026-03-23,383.9,387.21,381.68,383.0,29680060
2026-03-24,382.36,382.47,371.85,372.74,42733630
2026-03-25,376.92,377.06,369.63,371.04,31181160
2026-03-26,370.815,374.7199,365.19,365.97,36836570
2026-03-27,361.9,362.45,356.51,356.77,37883400
2026-03-30,361.895,365.36,356.28,358.96,44797000
2026-03-31,364.55,372.9,363.07,370.17,45244370
2026-04-01,373.49,373.99,368.2,369.37,29417210
2026-04-02,367.205,373.64,364.15,373.46,24099070
2026-04-06,373.49,373.73,369.5014,372.88,16146570
2026-04-07,370.34,372.45,366.56,372.29,21443350
2026-04-08,384.98,385.0,371.41,374.33,33064820
2026-04-09,372.5,373.5,367.05,373.07,30435300
2026-04-10,372.98,375.64,370.03,370.87,28111130
2026-04-13,373.605,384.54,371.02,384.37,35745780
2026-04-14,387.915,394.69,386.52,393.11,37504490
2026-04-15,398.0,414.3699,396.73,411.22,45063390
2026-04-16,419.86,420.82,412.14,420.26,41642360
2026-04-17,424.82,431.58,420.69,422.79,48568190
2026-04-20,421.145,423.33,416.3,418.07,27582240
2026-04-21,420.24,427.18,417.2,424.16,32048500
2026-04-22,426.185,433.7,423.67,432.92,29378170
2026-04-23,419.885,423.66,411.4101,415.75,38307960
2026-04-24,416.97,424.95,415.8,424.62,27457400
2026-04-27,422.375,427.11,417.0701,424.82,30867300
2026-04-28,424.57,429.92,421.9,429.25,30438090
2026-04-29,424.575,426.82,420.29,424.46,38288320
2026-04-30,410.81,414.42,398.01,407.78,70909410
2026-05-01,412.8,417.11,410.435,414.44,31372360
2026-05-04,411.54,420.78,410.8,413.62,28066530
2026-05-05,415.32,416.7799,408.8,411.38,25700890
2026-05-06,408.0,418.4228,405.11,413.96,30285900
2026-05-07,420.11,427.98,418.76,420.77,34942450
2026-05-08,417.385,418.63,414.0,415.12,33383790
2026-05-11,407.87,412.69,405.5,412.66,35657940
2026-05-12,414.48,415.5,406.64,407.77,38594220
2026-05-13,403.2,406.31,401.03,405.21,29667070
2026-05-14,404.48,411.84,400.88,409.43,27077540
2026-05-15,414.27,428.17,412.91,421.92,50771160
2026-05-18,416.62,425.12,415.61,423.54,32564130
2026-05-19,429.9,432.7,416.49,417.42,33018680
2026-05-20,414.165,422.1,411.3001,421.06,27864020
2026-05-21,424.75,426.34,415.71,419.09,31393470
2026-05-22,419.535,424.4,416.33,418.57,22390340
2026-05-26,416.43,419.77,413.02,416.03,30398050
2026-05-27,411.01,415.94,409.58,412.67,28901480
2026-05-28,412.975,429.49,412.67,426.99,47250540
2026-05-29,432.545,450.33,432.36,450.24,79654380
2026-06-01,464.84,466.32,458.27,460.52,53628910
2026-06-02,446.88,453.5,440.43,441.31,37036800
2026-06-03,438.45,440.39,424.25,427.34,39037010
2026-06-04,435.81,436.15,426.41,428.05,26899510
2026-06-05,428.34,429.47,414.4,416.67,34782160
2026-06-08,414.14,417.1599,408.56,411.74,32086710
2026-06-09,409.03,411.98,398.48,403.41,35317300
2026-06-10,398.55,405.04,397.16,397.36,32576040
2026-06-11,395.205,396.85,384.0,390.34,47224140
2026-06-12,391.43,391.74,382.27,390.74,34922040
2026-06-15,396.795,401.75,392.845,399.76,32266440
2026-06-16,395.79,396.84,390.69,393.83,31506850
2026-06-17,390.25,390.37,377.32,378.91,41987830
2026-06-18,377.82,381.37,373.28,379.4,59714160
2026-06-22,375.74,381.63,367.07,367.34,45171110
2026-06-23,372.38,377.22,370.67,373.94,40647610
2026-06-24,371.57,378.88,364.78,365.46,44509850
2026-06-25,362.77,364.23,349.2,352.83,66360470
2026-06-26,357.15,376.61,355.43,372.97,186201600
2026-06-29,377.5,380.5,359.9,368.57,51229890
2026-06-30,371.03,374.15,367.45,373.02,44945700
2026-07-01,380.825,388.83,374.89,384.28,48065800
2026-07-02,384.48,392.2,383.7,390.49,42194410
2026-07-06,387.04,389.15,381.22,386.74,34224540
2026-07-07,392.49,395.57,388.22,388.84,29297520
2026-07-08,384.03,385.31,381.33,383.34,25908260
2026-07-09,374.45,384.65,373.35,384.36,31083200
2026-07-10,387.8,391.91,381.5,385.1,24644610
2026-07-13,387.745,393.65,384.15,390.99,28914880
2026-07-14,382.82,388.19,378.65,384.93,27863920
2026-07-15,387.8,398.96,386.4,395.63,36253750
2026-07-16,398.31,405.99,392.0501,401.1,37047440
2026-07-17,394.855,398.39,389.39,393.82,33049840
