date,open,high,low,close,volume
2026-02-03,187.97,190.45,185.83,189.79,868035
2026-02-04,189.28,191.0,186.8201,188.44,877116
2026-02-05,187.95,190.8705,185.36,186.08,1019631
2026-02-06,187.66,194.28,186.38,192.99,736168
2026-02-09,194.32,195.94,193.22,194.58,659789
2026-02-10,194.57,195.34,191.215,194.72,764111
2026-02-11,194.72,196.0,172.45,173.0,1526539
2026-02-12,175.22,179.47,169.18,171.44,1477378
2026-02-13,172.34,176.65,171.64,176.3,1258563
2026-02-17,178.27,179.2,161.53,161.53,2595908
2026-02-18,163.44,172.02,161.05,171.53,2092272
2026-02-19,170.7,177.42,170.05,176.27,1365603
2026-02-20,175.03,175.22,171.55,173.5,936736
2026-02-23,172.18,174.0,170.6,172.0,1113342
2026-02-24,171.94,174.8,171.5,174.13,1512087
2026-02-25,174.97,175.44,168.15,169.89,1483357
2026-02-26,172.01,176.49,170.705,175.86,1375904
2026-02-27,174.77,177.0,173.62,175.1,1549370
2026-03-02,177.0,179.54,174.75,179.4,1579762
2026-03-03,177.17,181.13,176.09,180.65,1810179
2026-03-04,180.65,181.0,176.52,176.7,1290954
2026-03-05,175.48,176.89,173.23,175.66,1046657
2026-03-06,175.65,179.13,174.257,177.89,978415
2026-03-09,177.18,180.01,174.03,179.54,926761
2026-03-10,177.94,177.94,170.03,172.51,1313544
2026-03-11,171.9,175.82,170.52,173.37,933300
2026-03-12,173.31,175.68,172.16,173.81,1152801
2026-03-13,174.98,175.4,172.47,173.86,791643
2026-03-16,172.52,172.775,166.31,167.45,1342669
2026-03-17,168.31,170.602,166.4,168.98,1058312
2026-03-18,168.79,170.29,166.64,166.75,948038
2026-03-19,165.93,167.115,165.0,165.95,989384
2026-03-20,164.7,166.82,164.7,165.87,4464747
2026-03-23,166.44,167.98,162.51,162.54,1290366
2026-03-24,161.13,163.27,157.25,158.99,1158442
2026-03-25,160.0,161.01,156.82,158.88,714339
2026-03-26,158.05,159.87,156.85,157.58,611291
2026-03-27,157.5,157.5,154.97,155.53,675360
2026-03-30,157.1,157.4022,152.735,154.19,1023003
2026-03-31,156.02,158.49,154.38,155.52,997761
2026-04-01,154.48,157.3499,154.48,156.01,852870
2026-04-02,155.19,159.26,154.08,158.82,688971
2026-04-06,158.52,159.99,157.8,159.47,646843
2026-04-07,159.21,160.38,157.78,158.87,635122
2026-04-08,158.06,162.0,157.69,160.64,789493
2026-04-09,160.13,160.135,155.58,155.63,645269
2026-04-10,155.17,156.81,151.11,152.88,805450
2026-04-13,155.19,157.94,153.6,157.59,1220619
2026-04-14,157.93,158.3892,156.035,156.17,862900
2026-04-15,156.54,159.685,156.1,159.04,814787
2026-04-16,159.73,160.79,155.96,156.47,767239
2026-04-17,156.76,157.725,154.05,155.17,1043616
2026-04-20,155.73,157.0,153.83,154.82,609684
2026-04-21,153.84,156.205,152.83,153.2,700890
2026-04-22,154.21,154.615,149.98,150.71,877538
2026-04-23,150.72,150.72,146.45,147.6,1047032
2026-04-24,146.75,146.8,144.18,146.06,798117
2026-04-27,146.47,147.86,143.39,144.24,627520
2026-04-28,145.88,147.18,143.05,146.15,870009
2026-04-29,146.16,147.29,144.9,145.91,785794
2026-04-30,145.49,149.56,144.91,149.22,853662
2026-05-01,150.0,150.8,148.555,149.23,1163490
2026-05-04,148.75,152.365,148.49,148.81,2071844
2026-05-05,152.35,153.9,137.11,137.19,2252443
2026-05-06,135.9,136.53,129.355,134.9,2230508
2026-05-07,133.84,135.5,130.0,131.26,1447320
2026-05-08,131.12,131.12,127.865,130.11,1515839
2026-05-11,128.68,129.99,125.34,127.68,1890279
2026-05-12,128.96,130.95,126.6,128.39,2307579
2026-05-13,126.62,127.742,121.53,124.17,1589573
2026-05-14,124.54,126.69,123.52,125.55,989751
2026-05-15,126.42,127.71,122.75,123.69,1242775
2026-05-18,123.34,125.93,122.64,124.84,1285306
2026-05-19,125.06,127.44,124.02,125.96,907548
2026-05-20,125.09,125.12,122.38,124.39,1115544
2026-05-21,123.36,124.17,121.2,123.04,847659
2026-05-22,123.39,126.98,123.0,126.01,775061
2026-05-26,125.47,128.383,124.0,128.12,1223313
2026-05-27,128.0,132.57,127.515,130.62,1454037
2026-05-28,130.0,134.47,129.65,131.59,1410423
2026-05-29,131.4,132.23,127.0,127.8,2607436
2026-06-01,129.1,131.1425,127.69,127.72,1290103
2026-06-02,126.0,127.66,123.25,126.82,1506814
2026-06-03,123.56,125.94,121.85,124.35,1245413
2026-06-04,126.64,128.225,124.06,124.57,1092629
2026-06-05,126.06,127.2,124.02,124.43,1258733
2026-06-08,123.44,125.0,122.15,122.8,1028697
2026-06-09,122.5,124.55,121.875,123.52,896938
2026-06-10,123.52,124.6,121.44,121.69,1285520
2026-06-11,121.61,123.81,121.34,122.08,746094
2026-06-12,123.0,124.5,121.45,122.16,1199172
2026-06-15,121.16,121.91,113.28,114.6,2581668
2026-06-16,114.02,116.13,113.51,113.58,1863181
2026-06-17,110.43,111.825,108.0,108.67,2530748
2026-06-18,109.02,109.5,106.08,107.12,6872610
2026-06-22,105.31,105.665,101.091,104.84,3058474
2026-06-23,106.55,106.86,104.25,106.11,1754662
2026-06-24,106.05,107.07,103.5,104.32,1426855
2026-06-25,103.71,105.39,99.65,100.0,1602699
2026-06-26,99.75,102.535,99.53,101.76,2474017
2026-06-29,102.3,103.67,99.63,100.44,2650086
2026-06-30,100.0,104.2499,98.86,102.97,1988135
2026-07-01,103.89,105.81,103.05,103.07,1645311
2026-07-02,104.88,108.9,104.52,108.84,2315747
2026-07-06,108.5,109.97,107.0401,108.72,1844136
2026-07-07,109.97,111.0,107.33,108.57,1376128
2026-07-08,107.13,108.14,106.3591,107.18,969397
2026-07-09,105.53,107.2,104.29,106.62,1676334
2026-07-10,108.94,109.0,105.29,107.02,1068299
2026-07-13,108.41,108.64,105.205,106.58,1238763
2026-07-14,104.02,108.06,104.01,106.56,1059310
2026-07-15,107.0,110.0,107.0,108.21,1238365
2026-07-16,108.8,109.66,107.2701,108.29,1574568
2026-07-17,108.68,110.91,105.745,106.48,2094453
