date,open,high,low,close,volume
2026-01-23,106.9,111.46,106.5,106.99,17691110
2026-01-26,106.26,108.49,104.83,107.0,11501610
2026-01-27,107.7,109.049,104.66,105.24,18339510
2026-01-28,105.29,107.25,103.0,103.4,22380160
2026-01-29,103.82,103.82,99.2,101.24,29463830
2026-01-30,102.735,104.3,98.37,99.48,23773100
2026-02-02,95.88,95.885,88.67,89.91,59741800
2026-02-03,90.1,90.35,84.93,87.07,36550000
2026-02-04,84.77,85.3,77.62,80.62,62547860
2026-02-05,77.67,79.41,71.87,72.68,56483080
2026-02-06,77.86,84.3,77.12,82.82,54593880
2026-02-09,84.88,88.6,82.83,86.56,41278080
2026-02-10,85.315,88.22,85.21,85.6,41823770
2026-02-11,77.875,79.9,74.25,77.97,68727550
2026-02-12,78.87,79.0,70.43,71.12,57569310
2026-02-13,72.465,77.0752,71.52,75.97,43506940
2026-02-17,74.34,76.72,72.87,75.44,31818500
2026-02-18,74.79,78.265,74.06,75.21,25655440
2026-02-19,74.39,76.14,73.53,75.65,20780450
2026-02-20,75.2,78.08,75.13,76.11,30283910
2026-02-23,74.595,74.95,71.42,71.78,30422710
2026-02-24,70.912,73.88,69.22,73.39,23571760
2026-02-25,76.91,78.1132,74.64,77.53,32366170
2026-02-26,76.93,79.5686,76.45,79.45,22685800
2026-02-27,76.8,77.79,74.82,75.85,23485290
2026-03-02,73.485,79.54,73.0,78.78,26904710
2026-03-03,74.04,77.3999,72.25,76.07,26929170
2026-03-04,79.6,83.85,79.58,82.21,38493840
2026-03-05,82.12,84.75,78.55,80.56,39868310
2026-03-06,77.91,79.0,76.38,77.09,28734370
2026-03-09,75.92,79.65,75.55,79.35,25186610
2026-03-10,80.205,80.7499,77.66,78.53,22663590
2026-03-11,78.11,79.77,76.735,78.69,22677210
2026-03-12,77.335,77.82,75.07,76.12,22668270
2026-03-13,76.75,77.63,72.795,73.39,33417520
2026-03-16,75.1,75.805,74.11,75.31,22783400
2026-03-17,75.4,77.7,75.39,77.35,20210220
2026-03-18,76.13,77.25,74.8301,74.9,21937560
2026-03-19,72.28,75.16,71.7,74.16,21552530
2026-03-20,73.1,73.41,69.9,70.89,34441130
2026-03-23,71.846,73.6,70.9201,72.49,26070190
2026-03-24,71.51,71.84,68.5755,69.08,29317570
2026-03-25,71.825,74.5898,71.75,72.54,27500060
2026-03-26,71.15,73.24,69.7,70.35,21327040
2026-03-27,68.54,68.89,65.872,66.02,30547030
2026-03-30,66.859,67.89,63.515,65.16,26512250
2026-03-31,65.82,69.4127,65.18,69.3,35925100
2026-04-01,71.13,71.5512,69.14,70.11,24130360
2026-04-02,67.2,70.15,65.57,68.9,23381350
2026-04-06,69.31,70.82,68.71,69.78,24334460
2026-04-07,68.3,69.66,66.62,69.65,24967430
2026-04-08,76.8,77.87,71.31,71.83,32953380
2026-04-09,71.59,72.46,68.78,70.12,25973770
2026-04-10,70.11,70.87,68.2801,69.19,23163810
2026-04-13,68.205,71.7,67.8,71.67,21181720
2026-04-14,75.13,79.28,75.05,79.09,43587320
2026-04-15,83.55,87.55,81.5,87.32,72707190
2026-04-16,89.19,89.3799,83.87,86.85,51788110
2026-04-17,90.06,93.32,89.57,90.75,49795270
2026-04-20,89.7,92.38,88.21,91.275,35942430
2026-04-21,91.08,91.45,86.19,86.43,36873050
2026-04-22,89.35,90.135,87.48,88.43,27468390
2026-04-23,86.695,87.61,81.745,83.54,33497620
2026-04-24,84.9,85.06,82.82,84.71,20873080
2026-04-27,84.28,85.7,83.115,83.95,20100430
2026-04-28,81.46,83.14,80.82,82.07,31324160
2026-04-29,72.3,73.59,69.93,71.2,79797560
2026-04-30,71.18,73.8746,70.76,72.89,31187270
2026-05-01,73.775,75.28,73.06,73.66,25254840
2026-05-04,74.7,78.29,74.63,76.55,29377480
2026-05-05,77.615,78.75,76.49,77.03,24754630
2026-05-06,77.8,79.49,76.19,79.05,24673110
2026-05-07,78.955,79.23,75.46,76.28,21873210
2026-05-08,76.24,77.065,74.25,77.03,18141880
2026-05-11,76.79,81.14,74.8,80.78,26357900
2026-05-12,79.08,80.18,76.48,78.27,17097120
2026-05-13,77.07,77.62,75.34,76.75,14805880
2026-05-14,76.05,81.93,75.11,80.7,27967580
2026-05-15,78.54,78.582,76.41,77.14,19662350
2026-05-18,76.0,79.92,75.47,77.15,20209440
2026-05-19,76.15,76.37,73.18,74.16,20490420
2026-05-20,74.75,76.35,73.75,75.76,17178280
2026-05-21,74.945,76.7594,74.65,75.92,16266440
2026-05-22,76.32,77.11,73.26,73.64,20817550
2026-05-26,74.495,76.04,73.455,74.09,20130150
2026-05-27,73.915,76.635,73.45,76.23,25413140
2026-05-28,74.845,84.92,73.53,84.84,44052420
2026-05-29,85.66,94.4,84.235,94.3,64410960
2026-06-01,89.94,92.4,85.5599,90.73,42590760
2026-06-02,88.67,89.43,86.13,88.16,26630610
2026-06-03,86.445,86.815,82.41,82.85,24090320
2026-06-04,83.255,88.62,82.8,88.33,31788590
2026-06-05,86.57,87.3299,79.49,82.47,35905090
2026-06-08,84.62,85.63,82.814,85.04,19347810
2026-06-09,85.87,88.08,78.93,83.77,29312430
2026-06-10,84.09,91.46,84.08,86.36,42027610
2026-06-11,87.08,93.64,85.72,92.23,38959060
2026-06-12,92.735,96.1,90.2201,93.19,33082300
2026-06-15,98.72,100.87,97.45,98.12,36576850
2026-06-16,100.17,101.88,94.57,96.71,31540760
2026-06-17,95.935,110.7279,95.76,105.2,70804680
2026-06-18,107.825,109.08,103.46,108.15,39509950
2026-06-22,108.0,112.5,105.275,105.71,31731230
2026-06-23,101.645,105.99,101.03,103.25,40632290
2026-06-24,102.346,104.27,96.295,97.19,30220050
2026-06-25,98.79,99.19,92.8,93.47,23404350
2026-06-26,93.215,99.44,93.08,98.69,44936800
2026-06-29,100.66,102.85,98.05,101.83,20681630
2026-06-30,101.87,103.06,99.661,100.28,17220700
2026-07-01,100.67,109.53,100.39,108.65,28100640
2026-07-02,112.76,120.05,110.93,112.73,41233310
2026-07-06,111.41,118.65,111.41,117.55,25587300
2026-07-07,115.775,117.85,112.53,112.9,21833480
2026-07-08,110.865,114.13,108.89,113.53,18287230
2026-07-09,112.23,117.65,111.63,115.11,18718830
2026-07-10,119.16,119.43,108.81,111.97,25930160
2026-07-13,111.27,113.7,108.84,109.86,18222370
2026-07-14,111.03,113.69,109.095,113.45,17916690
2026-07-15,114.97,116.6,112.12,115.54,21078640
2026-07-16,114.13,114.52,105.48,106.02,28465760
2026-07-17,100.37,104.11,96.59,99.96,27608550
